state,year,quarter,insurance_type,insurance_count,insurance_amount
andaman-&-nicobar-islands,2020,2,Insurance,6,1360
andaman-&-nicobar-islands,2020,3,Insurance,41,15380
andaman-&-nicobar-islands,2020,4,Insurance,124,157975
andaman-&-nicobar-islands,2021,1,Insurance,225,244266
andaman-&-nicobar-islands,2021,2,Insurance,137,181504
andaman-&-nicobar-islands,2021,3,Insurance,230,305235
andaman-&-nicobar-islands,2021,4,Insurance,757,1056380
andaman-&-nicobar-islands,2022,1,Insurance,768,1131287
andaman-&-nicobar-islands,2022,2,Insurance,501,779740
andaman-&-nicobar-islands,2022,3,Insurance,643,902466
andaman-&-nicobar-islands,2022,4,Insurance,901,1441210
andaman-&-nicobar-islands,2023,1,Insurance,1004,1439198
andaman-&-nicobar-islands,2023,2,Insurance,768,1233395
andaman-&-nicobar-islands,2023,3,Insurance,795,1251145
andaman-&-nicobar-islands,2023,4,Insurance,1145,1757821
andaman-&-nicobar-islands,2024,1,Insurance,1371,1964556
andaman-&-nicobar-islands,2024,2,Insurance,1097,1744694
andaman-&-nicobar-islands,2024,3,Insurance,1191,1752800
andaman-&-nicobar-islands,2024,4,Insurance,1293,2026380
andhra-pradesh,2020,2,Insurance,22104,3982391
andhra-pradesh,2020,3,Insurance,49812,12426481
andhra-pradesh,2020,4,Insurance,21464,12985632
andhra-pradesh,2021,1,Insurance,22105,12749874
andhra-pradesh,2021,2,Insurance,33205,22730687
andhra-pradesh,2021,3,Insurance,23075,19914338
andhra-pradesh,2021,4,Insurance,25423,31610335
andhra-pradesh,2022,1,Insurance,29954,42648157
andhra-pradesh,2022,2,Insurance,32185,41708072
andhra-pradesh,2022,3,Insurance,39301,48791931
andhra-pradesh,2022,4,Insurance,44329,58043239
andhra-pradesh,2023,1,Insurance,34920,51963355
andhra-pradesh,2023,2,Insurance,36376,52067478
andhra-pradesh,2023,3,Insurance,43150,57802396
andhra-pradesh,2023,4,Insurance,41798,62342423
andhra-pradesh,2024,1,Insurance,46582,63563802
andhra-pradesh,2024,2,Insurance,42547,62948281
andhra-pradesh,2024,3,Insurance,48014,73915199
andhra-pradesh,2024,4,Insurance,61425,80028914
arunachal-pradesh,2020,2,Insurance,65,14329
arunachal-pradesh,2020,3,Insurance,135,39687
arunachal-pradesh,2020,4,Insurance,125,84247
arunachal-pradesh,2021,1,Insurance,194,131611
arunachal-pradesh,2021,2,Insurance,204,224928
arunachal-pradesh,2021,3,Insurance,212,371051
arunachal-pradesh,2021,4,Insurance,320,598459
arunachal-pradesh,2022,1,Insurance,355,894107
arunachal-pradesh,2022,2,Insurance,564,1360231
arunachal-pradesh,2022,3,Insurance,510,1300304
arunachal-pradesh,2022,4,Insurance,613,1464572
arunachal-pradesh,2023,1,Insurance,606,1747475
arunachal-pradesh,2023,2,Insurance,696,2095988
arunachal-pradesh,2023,3,Insurance,718,1904786
arunachal-pradesh,2023,4,Insurance,809,2105408
arunachal-pradesh,2024,1,Insurance,1100,2419700
arunachal-pradesh,2024,2,Insurance,1147,2353015
arunachal-pradesh,2024,3,Insurance,842,1951385
arunachal-pradesh,2024,4,Insurance,999,2359472
assam,2020,2,Insurance,978,210034
assam,2020,3,Insurance,2206,599450
assam,2020,4,Insurance,2413,1806801
assam,2021,1,Insurance,3167,2334419
assam,2021,2,Insurance,3265,3008122
assam,2021,3,Insurance,4495,6010865
assam,2021,4,Insurance,8622,13962068
assam,2022,1,Insurance,16230,27447766
assam,2022,2,Insurance,9228,15357811
assam,2022,3,Insurance,14149,22543564
assam,2022,4,Insurance,18826,29239168
assam,2023,1,Insurance,22100,36963888
assam,2023,2,Insurance,16475,28368139
assam,2023,3,Insurance,22593,35618158
assam,2023,4,Insurance,23168,38731734
assam,2024,1,Insurance,33097,48107248
assam,2024,2,Insurance,22368,34796603
assam,2024,3,Insurance,17633,31388971
assam,2024,4,Insurance,21805,35336229
bihar,2020,2,Insurance,2816,595621
bihar,2020,3,Insurance,9733,2161102
bihar,2020,4,Insurance,9913,7860932
bihar,2021,1,Insurance,12554,8796619
bihar,2021,2,Insurance,14301,13301581
bihar,2021,3,Insurance,18030,18234941
bihar,2021,4,Insurance,22456,27313813
bihar,2022,1,Insurance,20253,27755736
bihar,2022,2,Insurance,21892,28212833
bihar,2022,3,Insurance,28511,34704251
bihar,2022,4,Insurance,33895,43914519
bihar,2023,1,Insurance,26929,38746711
bihar,2023,2,Insurance,29212,40354886
bihar,2023,3,Insurance,36550,45832355
bihar,2023,4,Insurance,41447,57624322
bihar,2024,1,Insurance,51592,63844442
bihar,2024,2,Insurance,49101,65285065
bihar,2024,3,Insurance,44745,62777286
bihar,2024,4,Insurance,62662,83739800
chandigarh,2020,2,Insurance,149,29537
chandigarh,2020,3,Insurance,264,70969
chandigarh,2020,4,Insurance,200,153341
chandigarh,2021,1,Insurance,338,238576
chandigarh,2021,2,Insurance,378,310943
chandigarh,2021,3,Insurance,494,469634
chandigarh,2021,4,Insurance,710,835813
chandigarh,2022,1,Insurance,792,1150932
chandigarh,2022,2,Insurance,1330,1874959
