state,year,quarter,entity_name,entity_type,insurance_count,insurance_amount
andaman-&-nicobar-islands,2020,2,nicobars,districts,3,565
andaman-&-nicobar-islands,2020,2,"south andaman",districts,3,795
andaman-&-nicobar-islands,2020,2,744301,pincodes,3,565
andaman-&-nicobar-islands,2020,2,744104,pincodes,2,513
andaman-&-nicobar-islands,2020,2,744101,pincodes,1,282
andaman-&-nicobar-islands,2020,3,"south andaman",districts,35,13651
andaman-&-nicobar-islands,2020,3,nicobars,districts,5,1448
andaman-&-nicobar-islands,2020,3,"north and middle andaman",districts,1,281
andaman-&-nicobar-islands,2020,3,744112,pincodes,9,3432
andaman-&-nicobar-islands,2020,3,744105,pincodes,7,3948
andaman-&-nicobar-islands,2020,3,744101,pincodes,5,2194
andaman-&-nicobar-islands,2020,3,744206,pincodes,4,1620
andaman-&-nicobar-islands,2020,3,744107,pincodes,3,1095
andaman-&-nicobar-islands,2020,3,744103,pincodes,3,947
andaman-&-nicobar-islands,2020,3,744302,pincodes,3,562
andaman-&-nicobar-islands,2020,3,744211,pincodes,2,101
andaman-&-nicobar-islands,2020,3,744301,pincodes,2,886
andaman-&-nicobar-islands,2020,3,744102,pincodes,2,314
andaman-&-nicobar-islands,2020,4,"south andaman",districts,109,137494
andaman-&-nicobar-islands,2020,4,"north and middle andaman",districts,13,17734
andaman-&-nicobar-islands,2020,4,nicobars,districts,2,2747
andaman-&-nicobar-islands,2020,4,744105,pincodes,25,25659
andaman-&-nicobar-islands,2020,4,744101,pincodes,23,29686
andaman-&-nicobar-islands,2020,4,744103,pincodes,18,24904
andaman-&-nicobar-islands,2020,4,744102,pincodes,17,25073
andaman-&-nicobar-islands,2020,4,744112,pincodes,8,10459
andaman-&-nicobar-islands,2020,4,744106,pincodes,6,4840
andaman-&-nicobar-islands,2020,4,744204,pincodes,6,11659
andaman-&-nicobar-islands,2020,4,744104,pincodes,4,10271
andaman-&-nicobar-islands,2020,4,744206,pincodes,3,100
andaman-&-nicobar-islands,2020,4,744205,pincodes,3,5235
andaman-&-nicobar-islands,2021,1,"south andaman",districts,164,167044
andaman-&-nicobar-islands,2021,1,"north and middle andaman",districts,48,63978
andaman-&-nicobar-islands,2021,1,nicobars,districts,13,13244
andaman-&-nicobar-islands,2021,1,744105,pincodes,47,53060
andaman-&-nicobar-islands,2021,1,744103,pincodes,35,39985
andaman-&-nicobar-islands,2021,1,744101,pincodes,33,24571
andaman-&-nicobar-islands,2021,1,744204,pincodes,25,29635
andaman-&-nicobar-islands,2021,1,744202,pincodes,12,17588
andaman-&-nicobar-islands,2021,1,744102,pincodes,12,14085
andaman-&-nicobar-islands,2021,1,744104,pincodes,9,7310
andaman-&-nicobar-islands,2021,1,744107,pincodes,8,9253
andaman-&-nicobar-islands,2021,1,744205,pincodes,7,11223
andaman-&-nicobar-islands,2021,1,744301,pincodes,7,6612
andaman-&-nicobar-islands,2021,2,"south andaman",districts,105,121104
andaman-&-nicobar-islands,2021,2,"north and middle andaman",districts,28,45311
andaman-&-nicobar-islands,2021,2,nicobars,districts,4,15089
andaman-&-nicobar-islands,2021,2,744103,pincodes,36,33716
andaman-&-nicobar-islands,2021,2,744101,pincodes,17,19787
andaman-&-nicobar-islands,2021,2,744105,pincodes,15,17163
andaman-&-nicobar-islands,2021,2,744102,pincodes,13,10326
andaman-&-nicobar-islands,2021,2,744204,pincodes,10,10557
andaman-&-nicobar-islands,2021,2,744107,pincodes,8,11459
andaman-&-nicobar-islands,2021,2,744202,pincodes,6,9766
andaman-&-nicobar-islands,2021,2,744104,pincodes,6,8889
andaman-&-nicobar-islands,2021,2,744205,pincodes,6,12669
andaman-&-nicobar-islands,2021,2,744210,pincodes,4,9430
andaman-&-nicobar-islands,2021,3,"south andaman",districts,182,223699
andaman-&-nicobar-islands,2021,3,"north and middle andaman",districts,33,50997
andaman-&-nicobar-islands,2021,3,nicobars,districts,15,30539
andaman-&-nicobar-islands,2021,3,744105,pincodes,70,82425
andaman-&-nicobar-islands,2021,3,744103,pincodes,44,53909
andaman-&-nicobar-islands,2021,3,744101,pincodes,26,29601
andaman-&-nicobar-islands,2021,3,744102,pincodes,14,20616
andaman-&-nicobar-islands,2021,3,744204,pincodes,13,20075
andaman-&-nicobar-islands,2021,3,744202,pincodes,11,18134
andaman-&-nicobar-islands,2021,3,744112,pincodes,11,14406
andaman-&-nicobar-islands,2021,3,744302,pincodes,8,7247
andaman-&-nicobar-islands,2021,3,744107,pincodes,6,6406
andaman-&-nicobar-islands,2021,3,744104,pincodes,6,2221
andaman-&-nicobar-islands,2021,4,"south andaman",districts,632,800758
andaman-&-nicobar-islands,2021,4,"north and middle andaman",districts,81,182061
andaman-&-nicobar-islands,2021,4,nicobars,districts,44,73561
andaman-&-nicobar-islands,2021,4,744105,pincodes,194,232344
andaman-&-nicobar-islands,2021,4,744101,pincodes,159,211326
andaman-&-nicobar-islands,2021,4,744103,pincodes,133,168668
andaman-&-nicobar-islands,2021,4,744102,pincodes,66,68931
andaman-&-nicobar-islands,2021,4,744301,pincodes,32,53658
andaman-&-nicobar-islands,2021,4,744204,pincodes,31,102213
andaman-&-nicobar-islands,2021,4,744104,pincodes,24,31069
andaman-&-nicobar-islands,2021,4,744112,pincodes,22,38599
andaman-&-nicobar-islands,2021,4,744202,pincodes,21,23016
andaman-&-nicobar-islands,2021,4,744205,pincodes,13,30437
andaman-&-nicobar-islands,2022,1,"south andaman",districts,692,982206
andaman-&-nicobar-islands,2022,1,"north and middle andaman",districts,48,85229
andaman-&-nicobar-islands,2022,1,nicobars,districts,28,63852
andaman-&-nicobar-islands,2022,1,744103,pincodes,174,226181
andaman-&-nicobar-islands,2022,1,744101,pincodes,149,204646
andaman-&-nicobar-islands,2022,1,744105,pincodes,137,218321
andaman-&-nicobar-islands,2022,1,744102,pincodes,102,147402
andaman-&-nicobar-islands,2022,1,744112,pincodes,36,39197
andaman-&-nicobar-islands,2022,1,744104,pincodes,33,35406
andaman-&-nicobar-islands,2022,1,744107,pincodes,28,36877
andaman-&-nicobar-islands,2022,1,744207,pincodes,19,50799
andaman-&-nicobar-islands,2022,1,744301,pincodes,16,33406
andaman-&-nicobar-islands,2022,1,744205,pincodes,15,29159
andaman-&-nicobar-islands,2022,2,"south andaman",districts,430,633029
andaman-&-nicobar-islands,2022,2,"north and middle andaman",districts,45,90403
andaman-&-nicobar-islands,2022,2,nicobars,districts,26,56308
andaman-&-nicobar-islands,2022,2,744103,pincodes,97,156861
andaman-&-nicobar-islands,2022,2,744101,pincodes,87,121168
andaman-&-nicobar-islands,2022,2,744105,pincodes,78,137418
andaman-&-nicobar-islands,2022,2,744102,pincodes,62,58453
andaman-&-nicobar-islands,2022,2,744104,pincodes,26,32107
andaman-&-nicobar-islands,2022,2,744107,pincodes,22,52244
andaman-&-nicobar-islands,2022,2,744211,pincodes,19,25543
andaman-&-nicobar-islands,2022,2,744112,pincodes,18,24391
