state,year,quarter,entity_name,entity_type,transaction_count,transaction_amount
andaman-&-nicobar-islands,2018,1,"south andaman",districts,5688,12560249.343665812
andaman-&-nicobar-islands,2018,1,nicobars,districts,528,1139848.801225994
andaman-&-nicobar-islands,2018,1,"north and middle andaman",districts,442,931663.0770939873
andaman-&-nicobar-islands,2018,1,744101,pincodes,1622,2769297.9039997994
andaman-&-nicobar-islands,2018,1,744103,pincodes,1223,2238041.8716124697
andaman-&-nicobar-islands,2018,1,744102,pincodes,969,3519059.937562449
andaman-&-nicobar-islands,2018,1,744105,pincodes,685,1298560.9515503529
andaman-&-nicobar-islands,2018,1,744104,pincodes,340,1039715.3111450541
andaman-&-nicobar-islands,2018,1,744107,pincodes,302,556059.5308556345
andaman-&-nicobar-islands,2018,1,744301,pincodes,283,445739.1633851439
andaman-&-nicobar-islands,2018,1,744112,pincodes,269,333709.56700413954
andaman-&-nicobar-islands,2018,1,744202,pincodes,193,238914.01667155625
andaman-&-nicobar-islands,2018,1,744302,pincodes,168,547469.6509380838
andaman-&-nicobar-islands,2018,2,"south andaman",districts,9395,23948235.51634325
andaman-&-nicobar-islands,2018,2,nicobars,districts,1120,3072436.9081196385
andaman-&-nicobar-islands,2018,2,"north and middle andaman",districts,825,1317863.0834906558
andaman-&-nicobar-islands,2018,2,744101,pincodes,2701,6310089.917084678
andaman-&-nicobar-islands,2018,2,744103,pincodes,1965,4752146.698501162
andaman-&-nicobar-islands,2018,2,744102,pincodes,1525,5810267.574788321
andaman-&-nicobar-islands,2018,2,744105,pincodes,997,2200332.971862734
andaman-&-nicobar-islands,2018,2,744301,pincodes,767,1953749.3787199226
andaman-&-nicobar-islands,2018,2,744104,pincodes,659,1650346.1906506256
andaman-&-nicobar-islands,2018,2,744107,pincodes,594,1601569.9821441039
andaman-&-nicobar-islands,2018,2,744112,pincodes,432,578829.1795229593
andaman-&-nicobar-islands,2018,2,744202,pincodes,405,626523.9803147907
andaman-&-nicobar-islands,2018,2,744302,pincodes,291,1026590.0735863491
andaman-&-nicobar-islands,2018,3,"south andaman",districts,13511,44268112.46425246
andaman-&-nicobar-islands,2018,3,nicobars,districts,1471,6387829.151558982
andaman-&-nicobar-islands,2018,3,"north and middle andaman",districts,1283,4901529.518499676
andaman-&-nicobar-islands,2018,3,744101,pincodes,3462,10833893.444488766
andaman-&-nicobar-islands,2018,3,744103,pincodes,3182,10184154.358592123
andaman-&-nicobar-islands,2018,3,744102,pincodes,2224,10365275.479700703
andaman-&-nicobar-islands,2018,3,744105,pincodes,1613,5152534.080403434
andaman-&-nicobar-islands,2018,3,744104,pincodes,1029,2588077.6866583927
andaman-&-nicobar-islands,2018,3,744301,pincodes,975,4256576.349618757
andaman-&-nicobar-islands,2018,3,744112,pincodes,579,1145815.7801705198
andaman-&-nicobar-islands,2018,3,744107,pincodes,547,1492405.302862124
andaman-&-nicobar-islands,2018,3,744302,pincodes,417,1976781.9199490356
andaman-&-nicobar-islands,2018,3,744202,pincodes,341,2099404.0789861116
andaman-&-nicobar-islands,2018,4,"south andaman",districts,20136,75411840.8018554
andaman-&-nicobar-islands,2018,4,"north and middle andaman",districts,2137,7955635.917688001
andaman-&-nicobar-islands,2018,4,nicobars,districts,1485,7180859.354911782
andaman-&-nicobar-islands,2018,4,744101,pincodes,4674,16392855.280625317
andaman-&-nicobar-islands,2018,4,744103,pincodes,4576,17022520.257624768
andaman-&-nicobar-islands,2018,4,744102,pincodes,3306,17019977.183053624
andaman-&-nicobar-islands,2018,4,744105,pincodes,2513,9935282.832151461
andaman-&-nicobar-islands,2018,4,744104,pincodes,1432,6091757.917089159
andaman-&-nicobar-islands,2018,4,744211,pincodes,1225,3451359.606027063
andaman-&-nicobar-islands,2018,4,744301,pincodes,928,4606293.657525641
andaman-&-nicobar-islands,2018,4,744112,pincodes,759,2208675.0435713646
andaman-&-nicobar-islands,2018,4,744107,pincodes,747,1825659.5128978956
andaman-&-nicobar-islands,2018,4,744202,pincodes,702,3797054.1677634423
andaman-&-nicobar-islands,2019,1,"south andaman",districts,25683,85501972.38780196
andaman-&-nicobar-islands,2019,1,"north and middle andaman",districts,3264,9561708.736298349
andaman-&-nicobar-islands,2019,1,nicobars,districts,1539,7236059.549389593
andaman-&-nicobar-islands,2019,1,744103,pincodes,5742,19401964.77965755
andaman-&-nicobar-islands,2019,1,744101,pincodes,5156,15501306.227195919
andaman-&-nicobar-islands,2019,1,744102,pincodes,3925,16683547.094795756
andaman-&-nicobar-islands,2019,1,744105,pincodes,3553,11588669.48032856
andaman-&-nicobar-islands,2019,1,744104,pincodes,2833,9141657.219605077
andaman-&-nicobar-islands,2019,1,744211,pincodes,1511,5794838.401831552
andaman-&-nicobar-islands,2019,1,744202,pincodes,1112,3613381.294736007
andaman-&-nicobar-islands,2019,1,744107,pincodes,1029,3592930.2975779255
andaman-&-nicobar-islands,2019,1,744301,pincodes,920,4652963.41114777
andaman-&-nicobar-islands,2019,1,744112,pincodes,802,1893718.6537822199
andaman-&-nicobar-islands,2019,2,"south andaman",districts,28490,102530955.71341258
andaman-&-nicobar-islands,2019,2,"north and middle andaman",districts,3371,8612103.13788812
andaman-&-nicobar-islands,2019,2,nicobars,districts,1828,9111650.82436246
andaman-&-nicobar-islands,2019,2,744104,pincodes,6142,15625676.560883244
andaman-&-nicobar-islands,2019,2,744103,pincodes,5847,23751450.067206983
andaman-&-nicobar-islands,2019,2,744101,pincodes,4863,19061125.41121897
andaman-&-nicobar-islands,2019,2,744102,pincodes,4120,18948733.987097777
andaman-&-nicobar-islands,2019,2,744105,pincodes,3500,13418692.199162653
andaman-&-nicobar-islands,2019,2,744202,pincodes,1153,3619993.3910789257
andaman-&-nicobar-islands,2019,2,744107,pincodes,1124,2967445.3902032813
andaman-&-nicobar-islands,2019,2,744211,pincodes,1047,3168331.9917352106
andaman-&-nicobar-islands,2019,2,744301,pincodes,1007,4849284.51925976
andaman-&-nicobar-islands,2019,2,744112,pincodes,763,2928099.608406143
andaman-&-nicobar-islands,2019,3,"south andaman",districts,27421,91023888.32848613
andaman-&-nicobar-islands,2019,3,"north and middle andaman",districts,4049,11481466.283356791
andaman-&-nicobar-islands,2019,3,nicobars,districts,2300,11566421.475451011
andaman-&-nicobar-islands,2019,3,744103,pincodes,5680,19906337.014255583
andaman-&-nicobar-islands,2019,3,744101,pincodes,5606,18745152.093515635
andaman-&-nicobar-islands,2019,3,744104,pincodes,4786,15754793.354826454
andaman-&-nicobar-islands,2019,3,744102,pincodes,3643,14572605.602745283
andaman-&-nicobar-islands,2019,3,744105,pincodes,3512,11767223.99688773
andaman-&-nicobar-islands,2019,3,744202,pincodes,1417,3875602.0982028744
andaman-&-nicobar-islands,2019,3,744301,pincodes,1402,6195496.621729916
andaman-&-nicobar-islands,2019,3,744211,pincodes,1118,2983697.449378184
andaman-&-nicobar-islands,2019,3,744107,pincodes,914,1988299.759710987
andaman-&-nicobar-islands,2019,3,744112,pincodes,833,2198831.6919406196
andaman-&-nicobar-islands,2019,4,"south andaman",districts,27843,110930312.20611623
andaman-&-nicobar-islands,2019,4,"north and middle andaman",districts,4716,13524056.784573946
andaman-&-nicobar-islands,2019,4,nicobars,districts,2600,12384161.52668771
andaman-&-nicobar-islands,2019,4,744104,pincodes,6633,20626642.701508522
andaman-&-nicobar-islands,2019,4,744101,pincodes,5282,23247752.473849062
andaman-&-nicobar-islands,2019,4,744103,pincodes,4840,19792507.955761045
andaman-&-nicobar-islands,2019,4,744105,pincodes,3528,15302141.17488026
andaman-&-nicobar-islands,2019,4,744102,pincodes,3237,15350444.97320769
andaman-&-nicobar-islands,2019,4,744202,pincodes,1783,5800016.5561128855
andaman-&-nicobar-islands,2019,4,744211,pincodes,1596,7908264.721918669
andaman-&-nicobar-islands,2019,4,744301,pincodes,1549,7056478.928838715
andaman-&-nicobar-islands,2019,4,744201,pincodes,886,946768.0636478986
andaman-&-nicobar-islands,2019,4,744107,pincodes,777,3030368.911900454
andaman-&-nicobar-islands,2020,1,"south andaman",districts,32713,134679396.90582758
andaman-&-nicobar-islands,2020,1,"north and middle andaman",districts,5674,14697371.617857102
andaman-&-nicobar-islands,2020,1,nicobars,districts,2911,12099543.773590053
andaman-&-nicobar-islands,2020,1,744101,pincodes,11793,58229349.02415232
andaman-&-nicobar-islands,2020,1,744103,pincodes,5870,22009443.073053975
andaman-&-nicobar-islands,2020,1,744105,pincodes,4635,16774043.311987936
andaman-&-nicobar-islands,2020,1,744102,pincodes,3820,14517706.12269676
andaman-&-nicobar-islands,2020,1,744211,pincodes,1837,8425387.79004211
andaman-&-nicobar-islands,2020,1,744301,pincodes,1819,6901162.107519586
andaman-&-nicobar-islands,2020,1,744202,pincodes,1794,5037742.395579022
andaman-&-nicobar-islands,2020,1,744104,pincodes,1302,5293130.290633954
andaman-&-nicobar-islands,2020,1,744201,pincodes,1157,1242638.821252932
andaman-&-nicobar-islands,2020,1,744107,pincodes,1043,2990354.4448547475
andaman-&-nicobar-islands,2020,2,"south andaman",districts,48088,132855778.74838585
andaman-&-nicobar-islands,2020,2,"north and middle andaman",districts,10979,22447714.061058953
andaman-&-nicobar-islands,2020,2,nicobars,districts,3895,14341508.60470232
andaman-&-nicobar-islands,2020,2,744101,pincodes,11868,48293323.21851964
andaman-&-nicobar-islands,2020,2,744103,pincodes,10035,26197535.98945152
andaman-&-nicobar-islands,2020,2,744105,pincodes,9341,23203019.858980607
andaman-&-nicobar-islands,2020,2,744102,pincodes,6012,17786750.907515876
andaman-&-nicobar-islands,2020,2,744202,pincodes,3722,8924121.010762567
andaman-&-nicobar-islands,2020,2,744107,pincodes,2555,3980470.6853698147
andaman-&-nicobar-islands,2020,2,744301,pincodes,2275,9055232.527755566
andaman-&-nicobar-islands,2020,2,744211,pincodes,2045,3319717.6328789736
andaman-&-nicobar-islands,2020,2,744205,pincodes,1847,4459064.90732021
andaman-&-nicobar-islands,2020,2,744104,pincodes,1840,3334591.822304932
andaman-&-nicobar-islands,2020,3,"south andaman",districts,95323,282366109.20523936
andaman-&-nicobar-islands,2020,3,"north and middle andaman",districts,16747,33486883.37042556
andaman-&-nicobar-islands,2020,3,nicobars,districts,5413,22166453.754695382
andaman-&-nicobar-islands,2020,3,744101,pincodes,24386,100439119.66860783
andaman-&-nicobar-islands,2020,3,744103,pincodes,21272,60332278.69396809
andaman-&-nicobar-islands,2020,3,744105,pincodes,17166,44061506.56273589
andaman-&-nicobar-islands,2020,3,744102,pincodes,13934,43077189.842844136
andaman-&-nicobar-islands,2020,3,744202,pincodes,5779,11975748.707876923
andaman-&-nicobar-islands,2020,3,744107,pincodes,4753,7628018.669464628
andaman-&-nicobar-islands,2020,3,744104,pincodes,3468,7353834.51320935
andaman-&-nicobar-islands,2020,3,744112,pincodes,3422,6067986.696111794
andaman-&-nicobar-islands,2020,3,744301,pincodes,3071,13352610.531559702
andaman-&-nicobar-islands,2020,3,744205,pincodes,2991,7535645.788593667
andaman-&-nicobar-islands,2020,4,"south andaman",districts,186494,523122462.883029
andaman-&-nicobar-islands,2020,4,"north and middle andaman",districts,29349,68941322.38839513
andaman-&-nicobar-islands,2020,4,nicobars,districts,8688,35218871.04342848
andaman-&-nicobar-islands,2020,4,744103,pincodes,46884,138264791.5489212
andaman-&-nicobar-islands,2020,4,744101,pincodes,40392,136401368.02166596
andaman-&-nicobar-islands,2020,4,744105,pincodes,34410,87838226.93633425
andaman-&-nicobar-islands,2020,4,744102,pincodes,26694,76348598.32238364
andaman-&-nicobar-islands,2020,4,744202,pincodes,10949,25543799.074759968
andaman-&-nicobar-islands,2020,4,744107,pincodes,9743,18083250.19055397
andaman-&-nicobar-islands,2020,4,744104,pincodes,7654,19126095.533284884
andaman-&-nicobar-islands,2020,4,744112,pincodes,7016,15890275.050448488
andaman-&-nicobar-islands,2020,4,744205,pincodes,5118,12002695.281042248
andaman-&-nicobar-islands,2020,4,744201,pincodes,5011,6777275.536669218
andaman-&-nicobar-islands,2021,1,"south andaman",districts,207092,669604045.1248703
andaman-&-nicobar-islands,2021,1,"north and middle andaman",districts,27358,75027255.27919498
andaman-&-nicobar-islands,2021,1,nicobars,districts,10302,39075266.9856904
andaman-&-nicobar-islands,2021,1,744101,pincodes,55726,190830957.0606181
andaman-&-nicobar-islands,2021,1,744103,pincodes,47328,158404100.7854989
andaman-&-nicobar-islands,2021,1,744105,pincodes,35467,111571687.43195169
andaman-&-nicobar-islands,2021,1,744102,pincodes,23957,80750048.8238959
andaman-&-nicobar-islands,2021,1,744211,pincodes,10648,34956327.94105429
andaman-&-nicobar-islands,2021,1,744202,pincodes,10597,28127629.877961583
andaman-&-nicobar-islands,2021,1,744107,pincodes,8848,19627951.469969153
andaman-&-nicobar-islands,2021,1,744104,pincodes,8799,27854306.51949638
andaman-&-nicobar-islands,2021,1,744112,pincodes,7113,21084790.0528014
andaman-&-nicobar-islands,2021,1,744301,pincodes,5630,22671937.31314759
andaman-&-nicobar-islands,2021,2,"south andaman",districts,286907,760893020.5704947
andaman-&-nicobar-islands,2021,2,"north and middle andaman",districts,39200,90233388.79463303
andaman-&-nicobar-islands,2021,2,nicobars,districts,15307,48020606.74716838
andaman-&-nicobar-islands,2021,2,744101,pincodes,73334,227585492.7414593
andaman-&-nicobar-islands,2021,2,744103,pincodes,66321,174752815.1688521
andaman-&-nicobar-islands,2021,2,744105,pincodes,52645,134835744.22049245
andaman-&-nicobar-islands,2021,2,744102,pincodes,34289,100890426.76234055
andaman-&-nicobar-islands,2021,2,744202,pincodes,16476,40647907.96960775
andaman-&-nicobar-islands,2021,2,744107,pincodes,14524,24690581.539094776
andaman-&-nicobar-islands,2021,2,744104,pincodes,11278,28333852.06159348
andaman-&-nicobar-islands,2021,2,744211,pincodes,10182,20377949.346094526
andaman-&-nicobar-islands,2021,2,744112,pincodes,9635,21637658.167199604
andaman-&-nicobar-islands,2021,2,744301,pincodes,8463,27666837.39688266
andaman-&-nicobar-islands,2021,3,"south andaman",districts,382418,1116789010.6459613
andaman-&-nicobar-islands,2021,3,"north and middle andaman",districts,46592,118254865.82750683
andaman-&-nicobar-islands,2021,3,nicobars,districts,20754,74980519.32813609
andaman-&-nicobar-islands,2021,3,744101,pincodes,116324,388328168.7639693
andaman-&-nicobar-islands,2021,3,744103,pincodes,84790,246433385.80990067
andaman-&-nicobar-islands,2021,3,744105,pincodes,67257,185238368.4767078
andaman-&-nicobar-islands,2021,3,744102,pincodes,43850,131239564.16909727
andaman-&-nicobar-islands,2021,3,744202,pincodes,19088,48475163.574293144
andaman-&-nicobar-islands,2021,3,744107,pincodes,16203,37962312.09641009
andaman-&-nicobar-islands,2021,3,744104,pincodes,14657,35301326.114471875
andaman-&-nicobar-islands,2021,3,744112,pincodes,11565,28491553.61094001
andaman-&-nicobar-islands,2021,3,744301,pincodes,11553,43464511.051198
andaman-&-nicobar-islands,2021,3,744211,pincodes,9655,19497765.257140517
andaman-&-nicobar-islands,2021,4,"south andaman",districts,558571,1694794708.0093331
andaman-&-nicobar-islands,2021,4,"north and middle andaman",districts,53115,156486112.28732437
andaman-&-nicobar-islands,2021,4,nicobars,districts,24437,81329281.0269996
andaman-&-nicobar-islands,2021,4,744101,pincodes,165719,533026207.9731797
andaman-&-nicobar-islands,2021,4,744103,pincodes,121613,372243734.27985656
andaman-&-nicobar-islands,2021,4,744105,pincodes,95028,281223411.7435058
andaman-&-nicobar-islands,2021,4,744102,pincodes,58258,174623253.47653326
andaman-&-nicobar-islands,2021,4,744211,pincodes,27938,94222862.10725296
andaman-&-nicobar-islands,2021,4,744104,pincodes,25662,69245386.0816525
andaman-&-nicobar-islands,2021,4,744202,pincodes,21913,67790798.04849821
andaman-&-nicobar-islands,2021,4,744107,pincodes,21397,52036029.9980372
andaman-&-nicobar-islands,2021,4,744112,pincodes,18915,55448543.43365714
andaman-&-nicobar-islands,2021,4,744301,pincodes,14553,47792330.70050094
andaman-&-nicobar-islands,2022,1,"south andaman",districts,705512,1872991195.902684
andaman-&-nicobar-islands,2022,1,"north and middle andaman",districts,60059,161624878.52274162
andaman-&-nicobar-islands,2022,1,nicobars,districts,29177,94414127.64974089
andaman-&-nicobar-islands,2022,1,744101,pincodes,209941,615978080.6944855
andaman-&-nicobar-islands,2022,1,744103,pincodes,157230,399715980.1391735
andaman-&-nicobar-islands,2022,1,744105,pincodes,122716,321850608.7396423
andaman-&-nicobar-islands,2022,1,744102,pincodes,74883,193336549.94178736
andaman-&-nicobar-islands,2022,1,744104,pincodes,32471,72915521.83614868
andaman-&-nicobar-islands,2022,1,744211,pincodes,30272,86955570.58655271
andaman-&-nicobar-islands,2022,1,744107,pincodes,25379,58776727.62636636
andaman-&-nicobar-islands,2022,1,744202,pincodes,24022,68519268.77643085
andaman-&-nicobar-islands,2022,1,744112,pincodes,23471,55469783.6622991
andaman-&-nicobar-islands,2022,1,744301,pincodes,17630,56879992.28461884
andaman-&-nicobar-islands,2022,2,"south andaman",districts,954875,2357326563.362071
andaman-&-nicobar-islands,2022,2,"north and middle andaman",districts,72573,195693167.78757268
andaman-&-nicobar-islands,2022,2,nicobars,districts,43769,132900618.93062323
andaman-&-nicobar-islands,2022,2,744101,pincodes,252722,702122365.3629664
andaman-&-nicobar-islands,2022,2,744103,pincodes,230746,561168775.5622396
andaman-&-nicobar-islands,2022,2,744105,pincodes,176252,415796516.6034926
andaman-&-nicobar-islands,2022,2,744102,pincodes,101551,240451609.192299
andaman-&-nicobar-islands,2022,2,744104,pincodes,47069,94335358.34017953
andaman-&-nicobar-islands,2022,2,744211,pincodes,40245,108788594.62847154
andaman-&-nicobar-islands,2022,2,744107,pincodes,36402,82851064.58195859
andaman-&-nicobar-islands,2022,2,744112,pincodes,32548,70178309.12885833
andaman-&-nicobar-islands,2022,2,744202,pincodes,27750,84587978.8405464
andaman-&-nicobar-islands,2022,2,744301,pincodes,26170,74485462.68044695
andaman-&-nicobar-islands,2022,3,"south andaman",districts,1455255,2967719400.8499093
andaman-&-nicobar-islands,2022,3,"north and middle andaman",districts,79574,211581970.34202653
andaman-&-nicobar-islands,2022,3,nicobars,districts,49550,131330400.94545083
andaman-&-nicobar-islands,2022,3,744104,pincodes,497273,951370315.4090765
andaman-&-nicobar-islands,2022,3,744103,pincodes,259994,545653686.3062732
andaman-&-nicobar-islands,2022,3,744101,pincodes,213864,444967255.802143
andaman-&-nicobar-islands,2022,3,744105,pincodes,208055,438754611.5375265
andaman-&-nicobar-islands,2022,3,744102,pincodes,114416,239581586.790242
andaman-&-nicobar-islands,2022,3,744107,pincodes,40466,85492008.49477127
andaman-&-nicobar-islands,2022,3,744112,pincodes,38350,74030563.48358011
andaman-&-nicobar-islands,2022,3,744211,pincodes,37918,89671382.06901146
andaman-&-nicobar-islands,2022,3,744202,pincodes,29918,85509005.84576747
andaman-&-nicobar-islands,2022,3,744301,pincodes,27668,70002553.35288173
andaman-&-nicobar-islands,2022,4,"south andaman",districts,1835592,3600887266.099448
andaman-&-nicobar-islands,2022,4,"north and middle andaman",districts,93297,241431284.35581034
andaman-&-nicobar-islands,2022,4,nicobars,districts,58646,142355853.97352523
andaman-&-nicobar-islands,2022,4,744104,pincodes,684366,1309407988.2902
andaman-&-nicobar-islands,2022,4,744103,pincodes,304600,612929267.1773143
andaman-&-nicobar-islands,2022,4,744105,pincodes,258097,505662756.1128938
andaman-&-nicobar-islands,2022,4,744101,pincodes,243494,467192496.17391205
andaman-&-nicobar-islands,2022,4,744102,pincodes,134923,264371699.73904055
andaman-&-nicobar-islands,2022,4,744211,pincodes,56491,137253267.66612908
andaman-&-nicobar-islands,2022,4,744107,pincodes,54192,104539818.47127225
andaman-&-nicobar-islands,2022,4,744112,pincodes,46364,82461782.47749998
andaman-&-nicobar-islands,2022,4,744202,pincodes,34689,94217164.85909571
andaman-&-nicobar-islands,2022,4,744301,pincodes,33669,82466591.07632071
andaman-&-nicobar-islands,2023,1,"south andaman",districts,2030078,3867385426
andaman-&-nicobar-islands,2023,1,"north and middle andaman",districts,152187,392080332
andaman-&-nicobar-islands,2023,1,nicobars,districts,94127,202062829
andaman-&-nicobar-islands,2023,1,744103,pincodes,503053,969594706
andaman-&-nicobar-islands,2023,1,744105,pincodes,418090,774570559
andaman-&-nicobar-islands,2023,1,744101,pincodes,403456,749508057
andaman-&-nicobar-islands,2023,1,744102,pincodes,222855,427240840
andaman-&-nicobar-islands,2023,1,744104,pincodes,118286,201531285
andaman-&-nicobar-islands,2023,1,744211,pincodes,107424,263885620
andaman-&-nicobar-islands,2023,1,744107,pincodes,92715,168098531
andaman-&-nicobar-islands,2023,1,744112,pincodes,76246,131598911
andaman-&-nicobar-islands,2023,1,744202,pincodes,59440,165959850
andaman-&-nicobar-islands,2023,1,744301,pincodes,55605,111713635
andaman-&-nicobar-islands,2023,2,"south andaman",districts,2417058,4297737197
andaman-&-nicobar-islands,2023,2,"north and middle andaman",districts,181149,462414675
andaman-&-nicobar-islands,2023,2,nicobars,districts,109568,230192364
andaman-&-nicobar-islands,2023,2,744103,pincodes,597774,1119274409
andaman-&-nicobar-islands,2023,2,744105,pincodes,507585,916209552
andaman-&-nicobar-islands,2023,2,744101,pincodes,486154,824857096
andaman-&-nicobar-islands,2023,2,744102,pincodes,269165,458977445
andaman-&-nicobar-islands,2023,2,744104,pincodes,134785,205244167
andaman-&-nicobar-islands,2023,2,744107,pincodes,114795,194986633
andaman-&-nicobar-islands,2023,2,744211,pincodes,106510,222510323
andaman-&-nicobar-islands,2023,2,744112,pincodes,89784,147571191
andaman-&-nicobar-islands,2023,2,744202,pincodes,72315,211302035
andaman-&-nicobar-islands,2023,2,744301,pincodes,63841,134197959
andaman-&-nicobar-islands,2023,3,"south andaman",districts,2771397,4462201588
andaman-&-nicobar-islands,2023,3,"north and middle andaman",districts,198547,495623030
andaman-&-nicobar-islands,2023,3,nicobars,districts,128432,253772173
andaman-&-nicobar-islands,2023,3,744103,pincodes,697625,1158992204
andaman-&-nicobar-islands,2023,3,744105,pincodes,594280,962825309
andaman-&-nicobar-islands,2023,3,744101,pincodes,561910,880223225
andaman-&-nicobar-islands,2023,3,744102,pincodes,301979,500512890
andaman-&-nicobar-islands,2023,3,744104,pincodes,144283,201467258
andaman-&-nicobar-islands,2023,3,744107,pincodes,126430,192271794
andaman-&-nicobar-islands,2023,3,744211,pincodes,122188,205773943
andaman-&-nicobar-islands,2023,3,744112,pincodes,102093,142609621
andaman-&-nicobar-islands,2023,3,744202,pincodes,81233,229651761
andaman-&-nicobar-islands,2023,3,744301,pincodes,72307,142757567
andaman-&-nicobar-islands,2023,4,"south andaman",districts,3311962,5417264997
andaman-&-nicobar-islands,2023,4,"north and middle andaman",districts,230234,540759631
andaman-&-nicobar-islands,2023,4,nicobars,districts,153587,311527871
andaman-&-nicobar-islands,2023,4,744103,pincodes,817988,1376084403
andaman-&-nicobar-islands,2023,4,744105,pincodes,687868,1111327351
andaman-&-nicobar-islands,2023,4,744101,pincodes,665217,1030639279
andaman-&-nicobar-islands,2023,4,744102,pincodes,343773,550517935
andaman-&-nicobar-islands,2023,4,744211,pincodes,208914,434254474
andaman-&-nicobar-islands,2023,4,744104,pincodes,180753,276651786
andaman-&-nicobar-islands,2023,4,744107,pincodes,150575,215238085
andaman-&-nicobar-islands,2023,4,744112,pincodes,121589,178498997
andaman-&-nicobar-islands,2023,4,744301,pincodes,92294,197278662
andaman-&-nicobar-islands,2023,4,744202,pincodes,91113,233493969
andaman-&-nicobar-islands,2024,1,"south andaman",districts,3751724,5952049462
andaman-&-nicobar-islands,2024,1,"north and middle andaman",districts,266400,601756070
andaman-&-nicobar-islands,2024,1,nicobars,districts,166796,305346303
andaman-&-nicobar-islands,2024,1,744103,pincodes,915265,1466185445
andaman-&-nicobar-islands,2024,1,744105,pincodes,788690,1238176536
andaman-&-nicobar-islands,2024,1,744101,pincodes,729163,1111938725
andaman-&-nicobar-islands,2024,1,744102,pincodes,410733,635568629
andaman-&-nicobar-islands,2024,1,744211,pincodes,242702,502855645
andaman-&-nicobar-islands,2024,1,744104,pincodes,198252,287097896
andaman-&-nicobar-islands,2024,1,744107,pincodes,175286,238542585
andaman-&-nicobar-islands,2024,1,744112,pincodes,136050,198931121
andaman-&-nicobar-islands,2024,1,744202,pincodes,110787,274596943
andaman-&-nicobar-islands,2024,1,744301,pincodes,96150,182352308
andaman-&-nicobar-islands,2024,2,"south andaman",districts,4153251,6285248054
andaman-&-nicobar-islands,2024,2,"north and middle andaman",districts,313301,676844858
andaman-&-nicobar-islands,2024,2,nicobars,districts,186672,333687418
andaman-&-nicobar-islands,2024,2,744103,pincodes,1017612,1578925731
andaman-&-nicobar-islands,2024,2,744105,pincodes,893820,1374445615
andaman-&-nicobar-islands,2024,2,744101,pincodes,811341,1158296326
andaman-&-nicobar-islands,2024,2,744102,pincodes,457481,690786139
andaman-&-nicobar-islands,2024,2,744211,pincodes,224583,411320695
andaman-&-nicobar-islands,2024,2,744107,pincodes,215143,279183707
andaman-&-nicobar-islands,2024,2,744104,pincodes,203691,288479778
andaman-&-nicobar-islands,2024,2,744112,pincodes,149015,212749987
andaman-&-nicobar-islands,2024,2,744202,pincodes,133606,309640750
andaman-&-nicobar-islands,2024,2,744301,pincodes,103555,192116394
andaman-&-nicobar-islands,2024,3,"south andaman",districts,4704639,6567147442
andaman-&-nicobar-islands,2024,3,"north and middle andaman",districts,364075,724234808
andaman-&-nicobar-islands,2024,3,nicobar,districts,210536,372462759
andaman-&-nicobar-islands,2024,3,744103,pincodes,1447958,2053970205
andaman-&-nicobar-islands,2024,3,744105,pincodes,693711,961929148
andaman-&-nicobar-islands,2024,3,744102,pincodes,687213,994056767
andaman-&-nicobar-islands,2024,3,744104,pincodes,617317,839095587
andaman-&-nicobar-islands,2024,3,744101,pincodes,397378,543823715
andaman-&-nicobar-islands,2024,3,744106,pincodes,209731,260739712
andaman-&-nicobar-islands,2024,3,744211,pincodes,197101,284906813
andaman-&-nicobar-islands,2024,3,744107,pincodes,179048,222331863
andaman-&-nicobar-islands,2024,3,744202,pincodes,155096,325950998
