state,year,quarter,entity_name,entity_type,registered_users
andaman-&-nicobar-islands,2018,1,"south andaman",districts,5846
andaman-&-nicobar-islands,2018,1,"north and middle andaman",districts,632
andaman-&-nicobar-islands,2018,1,nicobars,districts,262
andaman-&-nicobar-islands,2018,1,744103,pincodes,1608
andaman-&-nicobar-islands,2018,1,744101,pincodes,1108
andaman-&-nicobar-islands,2018,1,744105,pincodes,1075
andaman-&-nicobar-islands,2018,1,744102,pincodes,1006
andaman-&-nicobar-islands,2018,1,744104,pincodes,272
andaman-&-nicobar-islands,2018,1,744202,pincodes,237
andaman-&-nicobar-islands,2018,1,744112,pincodes,215
andaman-&-nicobar-islands,2018,1,744301,pincodes,207
andaman-&-nicobar-islands,2018,1,744107,pincodes,196
andaman-&-nicobar-islands,2018,1,744211,pincodes,156
andaman-&-nicobar-islands,2018,2,"south andaman",districts,8143
andaman-&-nicobar-islands,2018,2,"north and middle andaman",districts,911
andaman-&-nicobar-islands,2018,2,nicobars,districts,351
andaman-&-nicobar-islands,2018,2,744103,pincodes,2188
andaman-&-nicobar-islands,2018,2,744101,pincodes,1521
andaman-&-nicobar-islands,2018,2,744105,pincodes,1492
andaman-&-nicobar-islands,2018,2,744102,pincodes,1419
andaman-&-nicobar-islands,2018,2,744104,pincodes,396
andaman-&-nicobar-islands,2018,2,744202,pincodes,343
andaman-&-nicobar-islands,2018,2,744112,pincodes,299
andaman-&-nicobar-islands,2018,2,744107,pincodes,293
andaman-&-nicobar-islands,2018,2,744301,pincodes,273
andaman-&-nicobar-islands,2018,2,744211,pincodes,240
andaman-&-nicobar-islands,2018,3,"south andaman",districts,10474
andaman-&-nicobar-islands,2018,3,"north and middle andaman",districts,1208
andaman-&-nicobar-islands,2018,3,nicobars,districts,467
andaman-&-nicobar-islands,2018,3,744103,pincodes,2741
andaman-&-nicobar-islands,2018,3,744101,pincodes,1978
andaman-&-nicobar-islands,2018,3,744105,pincodes,1935
andaman-&-nicobar-islands,2018,3,744102,pincodes,1803
andaman-&-nicobar-islands,2018,3,744104,pincodes,507
andaman-&-nicobar-islands,2018,3,744202,pincodes,446
andaman-&-nicobar-islands,2018,3,744112,pincodes,388
andaman-&-nicobar-islands,2018,3,744107,pincodes,384
andaman-&-nicobar-islands,2018,3,744301,pincodes,372
andaman-&-nicobar-islands,2018,3,744211,pincodes,327
andaman-&-nicobar-islands,2018,4,"south andaman",districts,13133
andaman-&-nicobar-islands,2018,4,"north and middle andaman",districts,1553
andaman-&-nicobar-islands,2018,4,nicobars,districts,536
andaman-&-nicobar-islands,2018,4,744103,pincodes,3373
andaman-&-nicobar-islands,2018,4,744101,pincodes,2498
andaman-&-nicobar-islands,2018,4,744105,pincodes,2416
andaman-&-nicobar-islands,2018,4,744102,pincodes,2231
andaman-&-nicobar-islands,2018,4,744104,pincodes,634
andaman-&-nicobar-islands,2018,4,744202,pincodes,554
andaman-&-nicobar-islands,2018,4,744107,pincodes,548
andaman-&-nicobar-islands,2018,4,744112,pincodes,496
andaman-&-nicobar-islands,2018,4,744211,pincodes,433
andaman-&-nicobar-islands,2018,4,744301,pincodes,425
andaman-&-nicobar-islands,2019,1,"south andaman",districts,15961
andaman-&-nicobar-islands,2019,1,"north and middle andaman",districts,2013
andaman-&-nicobar-islands,2019,1,nicobars,districts,622
