state,year,quarter,total_transactions,amount_millions
andaman-&-nicobar-islands,2018,1,6658,14.63
andaman-&-nicobar-islands,2018,2,11340,28.34
andaman-&-nicobar-islands,2018,3,16265,55.56
andaman-&-nicobar-islands,2018,4,23758,90.55
andaman-&-nicobar-islands,2019,1,30486,102.3
andaman-&-nicobar-islands,2019,2,33689,120.25
andaman-&-nicobar-islands,2019,3,33770,114.07
andaman-&-nicobar-islands,2019,4,35159,136.84
andaman-&-nicobar-islands,2020,1,41298,161.48
andaman-&-nicobar-islands,2020,2,62962,169.65
andaman-&-nicobar-islands,2020,3,117483,338.02
andaman-&-nicobar-islands,2020,4,224531,627.28
andaman-&-nicobar-islands,2021,1,244752,783.71
andaman-&-nicobar-islands,2021,2,341414,899.15
andaman-&-nicobar-islands,2021,3,449764,1310.02
andaman-&-nicobar-islands,2021,4,636123,1932.61
andaman-&-nicobar-islands,2022,1,794748,2129.03
andaman-&-nicobar-islands,2022,2,1071217,2685.92
andaman-&-nicobar-islands,2022,3,1584379,3310.63
andaman-&-nicobar-islands,2022,4,1987535,3984.67
andaman-&-nicobar-islands,2023,1,2276392,4461.53
andaman-&-nicobar-islands,2023,2,2707775,4990.34
andaman-&-nicobar-islands,2023,3,3098376,5211.6
andaman-&-nicobar-islands,2023,4,3695783,6269.55
andaman-&-nicobar-islands,2024,1,4184920,6859.15
andaman-&-nicobar-islands,2024,2,4653224,7295.78
andaman-&-nicobar-islands,2024,3,5279250,7663.85
andaman-&-nicobar-islands,2024,4,6063900,8920.94
andhra-pradesh,2018,1,9039585,11996.28
andhra-pradesh,2018,2,12353918,22883.91
andhra-pradesh,2018,3,25626061,35718.04
andhra-pradesh,2018,4,30759548,51473.78
andhra-pradesh,2019,1,57264522,83760.6
andhra-pradesh,2019,2,56409015,113634.52
andhra-pradesh,2019,3,76288614,139447.94
andhra-pradesh,2019,4,107218103,200948.32
andhra-pradesh,2020,1,127677357,252737.21
andhra-pradesh,2020,2,144917855,302583.69
andhra-pradesh,2020,3,204902935,467084.13
andhra-pradesh,2020,4,286118552,654841.55
andhra-pradesh,2021,1,289747970,672444.67
andhra-pradesh,2021,2,352767134,850737.5
andhra-pradesh,2021,3,432032550,984218.04
andhra-pradesh,2021,4,522254003,1156264.45
andhra-pradesh,2022,1,582603911,1294320.65
andhra-pradesh,2022,2,671134030,1479853.95
andhra-pradesh,2022,3,642855035,1385077.41
andhra-pradesh,2022,4,690017077,1424725.08
andhra-pradesh,2023,1,1145532464,2249051.32
andhra-pradesh,2023,2,1305656964,2506039.09
andhra-pradesh,2023,3,1475164403,2653414.1
andhra-pradesh,2023,4,1596987426,2802514.98
andhra-pradesh,2024,1,1755428485,3012725.67
andhra-pradesh,2024,2,1930122300,3181922.42
andhra-pradesh,2024,3,2091371362,3226645.61
andhra-pradesh,2024,4,2296445544,3452015.57
arunachal-pradesh,2018,1,45497,92.39
arunachal-pradesh,2018,2,82157,198.97
arunachal-pradesh,2018,3,131146,331.73
arunachal-pradesh,2018,4,176429,504.04
arunachal-pradesh,2019,1,226506,609.95
arunachal-pradesh,2019,2,258656,752.66
arunachal-pradesh,2019,3,370234,912.65
arunachal-pradesh,2019,4,459475,1190.57
arunachal-pradesh,2020,1,567175,1381.76
