year,quarter,state,total_amount
2018,1,karnataka,24633971883.481403
2018,1,maharashtra,23374271643.57939
2018,1,delhi,16984596660.725187
2018,1,telangana,14765884821.836626
2018,1,west-bengal,13300006472.153883
2018,1,tamil-nadu,13135198033.481712
2018,1,andhra-pradesh,11458042589.725624
2018,1,uttar-pradesh,9742046089.529703
2018,1,rajasthan,7864702968.871473
2018,1,madhya-pradesh,7477892969.35523
2018,1,gujarat,7447092066.580046
2018,1,haryana,7066395753.503775
2018,1,bihar,4440526760.719118
2018,1,odisha,3742608848.9388666
2018,1,punjab,2860783035.2842793
2018,1,kerala,2626544989.4245386
2018,1,jharkhand,2329739386.919789
2018,1,chhattisgarh,2319497469.9187183
2018,1,uttarakhand,2142041088.2193615
2018,1,jammu-&-kashmir,1426812030.3166678
2018,1,chandigarh,1146486112.593044
2018,1,assam,1015059244.892899
2018,1,himachal-pradesh,870968126.0116625
2018,1,goa,445280216.0567766
2018,1,dadra-&-nagar-haveli-&-daman-&-diu,351316768.21843374
2018,1,puducherry,283449243.8334653
2018,1,tripura,193445611.66986436
2018,1,manipur,187930700.15487832
2018,1,arunachal-pradesh,138645485.92123824
2018,1,nagaland,129420686.62706624
2018,1,sikkim,116547976.41384754
2018,1,meghalaya,103157407.52911912
2018,1,mizoram,75088099.75660414
2018,1,andaman-&-nicobar-islands,27618329.126710474
2018,1,ladakh,24595854.3491829
2018,1,lakshadweep,3857222.36175548
2018,2,karnataka,41552574441.92909
2018,2,maharashtra,37669892566.980835
2018,2,delhi,25904840183.091385
2018,2,telangana,23880857995.24875
2018,2,tamil-nadu,23238639702.06933
2018,2,andhra-pradesh,22021683676.801117
2018,2,west-bengal,21497576850.34934
2018,2,uttar-pradesh,16372410690.295994
2018,2,rajasthan,13271110445.505386
2018,2,madhya-pradesh,12602291844.189653
2018,2,gujarat,11737954118.474758
2018,2,haryana,11341969343.9216
2018,2,bihar,9097188681.41701
2018,2,odisha,6696732196.897213
2018,2,punjab,4829613478.473766
2018,2,chhattisgarh,4541623370.837046
2018,2,jharkhand,4426096496.353924
